FECHA,LOM,TEC,DIC,MCM,TLA,XAL,EDL,IBM,NEZ,MON,EAJ,AJU,MPA,SNT,COR,LAA
04/01/2010,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
11/01/2010,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
18/01/2010,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
25/01/2010,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
01/02/2010,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
08/02/2010,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
15/02/2010,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
22/02/2010,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
01/03/2010,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
08/03/2010,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
15/03/2010,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
22/03/2010,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
29/03/2010,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
05/04/2010,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
12/04/2010,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
19/04/2010,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
26/04/2010,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
03/05/2010,-99,-99,-99,-99,5.59,7.06,17.76,-99,-99,-99,9.98,0.31,-99,2.61,-99,0.71
10/05/2010,-99,7.58,-99,-99,5.53,5.89,53.18,10.75,5.37,-99,17.46,15.66,8.48,26.44,2.69,8.44
17/05/2010,17.96,20.72,1.75,-99,1.50,2.15,6.98,4.61,1.23,-99,2.24,-99,0.69,-99,0.97,2.76
24/05/2010,1.77,2.00,25.24,-99,0.57,5.69,3.99,-99,8.98,4.59,25.17,0.95,12.87,1.60,37.52,2.00
