cantidad,edad,estado,hospital
177,4,10,10
1,3,21,8
8,28,10,17
1,13,22,8
2,2,32,6
2,21,7,11
36,26,32,13
9,31,32,12
2,32,2,8
4,22,13,11
623,13,10,8
6,10,29,11
9,22,6,8
328,1,10,10
221,6,10,9
5,14,32,4
7,32,21,11
1,10,20,3
3,22,24,10
13,26,10,1
20,2,10,11
1,9,6,14
1,28,12,8
37,16,10,5
1,41,32,8
1,23,14,13
8,19,32,14
4,29,32,13
31,32,10,12
5,31,10,17
1,17,24,11
61,13,32,3
2,17,12,8
1,3,32,7
8,7,23,11
1,20,27,3
13,12,6,11
5,41,10,13
1,29,10,15
4,3,32,4
1,24,6,9
4,12,29,13
31,23,10,5
1,6,15,9
475,12,10,10
163,18,32,13
118,32,10,15
22,10,32,6
116,21,10,6
1,31,14,13
140,14,10,9
46,2,10,8
1,21,2,11
12,13,32,6
2,31,24,8
1,35,26,11
10,6,32,4
185,32,32,10
4,7,15,10
1,1,32,5
7,21,14,11
1,6,13,1
1,3,21,11
1,2,22,8
2,40,32,10
1,20,32,12
94,30,32,11
107,31,10,14
1,35,14,11
5,28,32,12
47,3,10,9
2,31,6,9
1,21,6,10
2,21,26,11
1,24,14,13
1,7,27,10
263,22,32,11
1,18,24,9
2,1,29,13
6,32,14,11
1,36,24,15
6,32,21,8
2,34,15,8
7,6,23,13
1,12,18,11
67,19,32,11
484,16,10,8
2,10,6,9
34,25,10,6
1,22,29,10
1,17,29,3
47,3,32,10
1,16,22,8
163,32,10,9
61,16,32,3
6,2,32,3
493,10,10,11
1,30,23,9
173,1,32,11
49,31,32,9
3,4,27,13
1,10,5,8
4,29,32,10
5,4,15,13
1,39,10,15
1,2,29,11
1,6,27,12
1,30,27,11
13,17,10,17
3,35,32,4
2,10,24,8
1,19,10,2
283,1,32,8
5,7,10,4
175,10,10,14
24,30,32,14
1,36,4,11
2,13,7,13
9,35,10,3
8,31,32,6
2,17,31,11
5,40,32,13
1,34,22,8
1,36,20,13
27,25,10,3
4,5,10,5
2,12,22,13
81,17,10,3
155,24,10,11
453,22,10,10
58,13,10,5
1,17,12,14
497,12,10,13
13,12,6,8
40,6,32,1
1,16,29,8
1,16,6,6
17,14,10,12
140,20,10,11
2,16,22,11
1,13,14,10
2,24,29,8
7,21,14,8
1,20,21,13
1,21,18,13
2,24,22,11
313,23,10,11
4,12,13,8
1,22,21,9
1,21,32,7
302,12,32,11
1,32,29,9
1,17,5,14
6,1,6,8
9,34,10,5
10,10,32,12
17,23,32,6
1,31,17,11
6,4,6,8
2,25,23,13
1,20,21,10
9,35,32,1
2,21,11,13
19,18,10,12
1,35,29,9
76,6,10,3
1,17,16,13
1,32,5,9
1,16,27,11
29,21,10,12
1,32,6,10
5,19,15,8
2,11,10,15
1,20,29,14
28,9,32,11
1,19,27,11
5,24,32,6
3,22,29,13
2,18,21,11
6,16,15,8
1,7,30,8
4,10,21,13
1,2,18,9
1,7,12,9
1,18,9,11
1,23,21,7
2,14,21,11
1,6,7,8
1,13,3,11
433,22,10,13
208,24,10,8
3,16,15,11
9,9,32,14
3,33,10,7
26,24,32,3
1,16,6,3
1,12,21,12
2,22,22,13
58,20,10,14
4,10,14,13
1,23,21,10
1,1,1,8
9,21,21,8
1,19,27,8
12,21,32,4
1,30,27,8
1,36,23,11
3,31,29,11
69,7,10,1
2,33,6,8
13,35,10,6
6,1,6,11
68,18,10,15
31,23,32,3
1,28,27,9
1,25,32,4
1,7,20,13
4,13,15,11
2,28,24,11
2,30,20,8
1,40,10,15
93,6,10,6
3,13,6,9
28,35,10,9
2,18,6,13
4,36,10,1
1,4,14,9
1,9,12,10
2,34,10,2
1,32,13,10
16,25,32,1
2,41,32,11
505,12,32,8
2,16,12,13
6,7,23,8
2,10,21,10
1,13,22,11
1,6,26,8
34,3,10,15
1,14,25,13
3,13,29,8
1,32,29,12
10,32,32,4
94,18,32,10
18,37,32,11
5,22,6,11
401,23,10,8
9,4,10,7
1,22,13,8
5,6,14,8
2,23,22,8
189,21,10,9
4,14,14,8
1,6,29,3
1,18,20,10
1,13,21,1
5,21,21,11
29,20,32,9
2,32,32,7
3,4,10,4
266,31,10,11
1,21,29,9
2,20,10,17
1,22,20,8
5,3,10,12
1,34,12,13
4,16,10,2
7,32,6,13
1,12,14,9
484,22,32,8
2,6,7,11
1,23,29,8
2,1,22,13
5,14,21,8
1,33,15,13
4,7,27,13
1,14,2,11
1,10,21,7
1,28,31,11
2,41,10,10
250,1,10,13
1,13,27,14
10,33,10,10
1,3,29,9
3,2,10,5
57,10,32,9
2,31,21,13
3,18,10,4
1,3,23,13
7,1,15,8
1,14,16,8
20,33,10,13
3,13,24,13
1,20,6,9
8,12,23,11
6,6,21,8
2,10,5,11
40,22,32,14
2,12,11,11
1,1,27,8
1,21,19,11
113,9,10,8
2,30,10,2
1,16,6,9
24,34,32,9
1,10,4,7
11,9,32,3
20,33,32,8
47,12,10,7
1,16,7,13
5,19,6,8
2,28,24,8
1,7,11,11
2,9,12,13
1,32,27,10
528,7,10,10
3,14,6,13
24,37,32,8
3,24,10,17
1,6,32,7
7,6,6,13
15,20,10,5
1,24,12,8
3,13,12,13
1,26,6,8
2,6,16,8
5,16,24,8
99,17,10,6
1,16,14,13
2,19,6,11
3,31,12,8
1,18,18,8
2,22,12,10
6,33,32,11
52,7,10,7
10,23,32,12
1,16,26,13
2,18,20,13
2,13,5,13
33,34,10,14
3,23,24,8
1,11,10,9
3,22,20,11
34,25,10,15
1,10,12,11
11,36,32,10
1,4,9,11
6,7,6,11
26,37,10,13
5,24,32,12
2,10,24,11
1,6,9,11
55,24,10,14
23,3,10,6
1,14,24,9
16,2,10,14
1,7,18,11
13,6,21,11
1,31,26,8
1,30,29,8
5,18,15,13
13,20,32,3
173,20,10,8
1,40,10,7
6,17,14,11
1,18,11,11
1,19,13,8
1,28,3,11
1,21,7,8
230,32,32,13
1,18,23,11
3,16,29,11
77,28,10,14
3,6,6,10
3,29,10,6
3,1,24,13
1,2,21,13
3,4,11,8
6,14,23,8
2,4,23,8
131,34,10,8
1,32,20,13
1,23,20,9
40,23,32,9
1,32,4,8
1,30,15,11
2,21,12,11
4,1,12,13
1,18,32,2
7,5,32,11
1,23,15,3
51,25,32,10
1,32,28,11
1,1,8,11
4,22,27,11
1,26,15,13
50,31,10,3
1,12,30,8
1,11,10,6
4,28,21,13
5,23,10,17
117,34,10,11
1,36,28,8
1,32,16,8
2,10,12,8
1,9,15,8
2,24,21,13
1,12,32,2
1,19,14,9
4,13,27,8
2,16,5,8
3,17,2,8
5,13,15,8
11,5,32,8
1,21,15,6
1,7,2,9
374,16,10,11
1,21,22,3
2,18,23,8
541,7,32,8
1,14,28,11
30,36,32,13
1,6,21,14
1,6,28,11
4,17,14,8
149,19,32,8
1,20,29,8
1,28,22,11
1,16,21,13
1,18,11,8
84,21,10,3
35,6,10,12
1,7,14,9
2,28,29,8
1,17,26,8
4,35,10,17
1,48,10,8
1,17,30,13
5,9,10,5
1,18,27,13
177,28,10,11
1,6,3,15
2,4,20,13
1,32,1,13
1,45,32,14
108,14,10,15
1,43,10,3
1,53,10,14
1,16,21,10
2,13,20,11
1,10,19,8
78,26,10,10
22,1,32,14
2,31,5,11
21,22,15,8
7,1,10,2
6,22,5,13
150,14,32,10
320,30,10,8
9,28,32,6
2,5,32,14
1,29,21,8
60,25,10,9
3,32,23,8
1,10,29,3
7,21,23,13
6,20,32,6
2,31,23,13
90,19,10,13
1,22,30,3
29,3,10,3
7,12,27,13
4,6,14,11
1,20,3,8
16,16,32,6
12,12,15,13
1,29,10,9
2,21,4,13
3,13,10,2
4,37,10,7
133,16,10,14
8,34,32,3
1,30,3,8
8,17,21,8
5,32,23,11
1,21,16,13
1,26,21,9
35,30,32,3
157,6,10,15
1,34,29,11
2,28,29,11
1,43,32,1
1,25,28,8
1,1,24,10
11,17,23,13
263,28,10,8
1,2,10,17
1,28,21,10
63,12,10,1
4,22,27,8
12,10,10,17
1,34,24,8
140,23,10,14
39,14,10,1
29,4,10,1
1,13,27,11
1,40,30,8
1,14,20,13
9,17,32,4
7,26,10,7
1,14,9,11
113,4,32,13
196,14,32,13
1,21,27,9
1,37,6,8
1,7,9,3
1,22,24,13
1,11,10,12
7,12,10,4
1,34,21,7
33,28,32,9
3,25,21,11
1,10,6,1
1,12,27,10
1,13,24,10
5,5,10,13
1,12,15,10
39,13,32,14
1,24,15,3
21,24,32,9
2,36,6,13
199,17,10,9
233,6,32,10
24,18,10,1
4,7,22,13
1,12,3,10
1,16,14,10
1,17,15,12
2,10,19,11
3,10,15,9
1,10,26,8
1,9,29,8
11,36,10,15
34,30,10,5
1,6,2,8
1,20,21,7
74,10,10,3
1,14,1,13
2,26,10,4
43,21,32,1
13,7,15,13
1,6,18,13
1,36,32,7
47,16,32,9
10,25,10,12
1,2,27,6
1,16,23,1
12,22,10,2
1,17,29,9
30,37,10,10
48,17,32,1
136,19,10,10
13,7,6,8
43,32,10,1
13,3,32,1
2,22,12,13
4,23,21,13
9,2,32,9
1,12,1,13
1,22,8,8
6,34,32,6
65,25,32,13
1,22,24,9
20,1,32,6
767,12,10,8
7,10,32,4
1,16,32,15
91,28,32,13
210,7,10,9
2,4,5,13
3,21,10,4
28,6,32,6
1,28,13,10
6,4,15,8
1,7,22,9
6,18,6,8
1,14,5,11
1,32,15,10
5,26,32,14
1,30,20,13
13,40,32,8
17,25,10,1
1,14,17,11
72,12,32,3
4,16,12,8
287,22,32,13
378,1,10,11
32,37,10,11
1,7,6,1
2,17,13,13
21,30,10,1
46,28,10,15
4,10,23,13
7,6,29,11
1,7,15,9
1,28,24,9
29,26,32,11
