cantidad,edad,estado,hospital
5,16,6,13
1,22,8,9
1,17,24,7
1,22,24,14
1,22,7,8
1,13,16,11
92,12,10,3
6,13,23,8
1,31,32,2
106,16,32,10
1,13,24,9
1,22,12,11
1,6,8,8
101,25,10,13
75,7,32,3
59,19,10,9
3,7,6,9
1,23,9,11
2,12,15,9
15,20,10,1
1,32,5,13
244,7,10,14
1,19,29,9
523,17,10,10
4,18,10,2
3,21,27,11
1,5,10,12
1,23,23,8
1,32,24,13
2,6,1,11
3,14,27,8
1,21,23,9
703,7,10,11
16,19,32,1
5,6,24,13
1,17,22,10
514,6,32,8
2,6,13,11
1,34,6,13
1,32,12,13
4,14,15,8
8,7,29,8
11,9,32,1
1,13,21,14
39,1,32,1
1,31,22,10
1,2,13,13
141,28,32,8
1,7,15,14
64,22,10,3
1,30,2,8
1,30,32,7
7,36,32,6
1,1,23,10
4,35,32,14
1,31,27,13
1,31,15,13
12,37,10,9
2,31,11,8
1,30,14,8
38,4,32,9
1,43,32,14
1,14,22,8
66,32,32,9
1,12,27,6
5,12,29,11
1,9,6,13
1,19,32,15
582,14,10,8
3,21,13,11
1,1,9,8
1,25,10,2
138,3,10,10
2,16,12,9
1,13,30,13
2,36,15,11
4,16,10,4
14,23,6,8
1,12,17,11
13,13,32,4
22,6,15,8
5,40,10,11
6,1,21,8
1,12,5,11
1,21,25,11
12,4,32,6
1,28,20,13
3,7,5,11
1,26,12,8
229,4,10,11
1,16,21,3
1,31,13,8
2,24,6,8
121,30,32,13
35,17,32,14
4,23,10,4
16,21,6,8
1,16,1,13
1,34,27,10
1,39,10,11
1,13,21,5
1,11,24,13
20,28,10,1
3,14,29,11
4,26,10,17
45,14,32,3
34,10,10,7
55,35,32,8
1,20,1,13
2,16,20,13
430,10,10,10
3,10,6,11
68,30,10,15
2,10,29,13
63,20,32,13
2,4,21,10
1,40,32,9
10,31,6,8
4,1,32,4
287,4,10,8
1,12,28,7
1,22,2,11
91,30,32,10
2,18,14,13
34,12,32,6
1,39,10,14
2,18,24,8
1,48,23,8
1,17,13,14
24,14,32,6
1,39,32,9
1,29,20,11
1,6,5,13
2,40,10,14
2,13,11,13
4,22,14,11
2,26,32,12
11,18,32,12
1,1,12,3
147,13,10,9
1,10,32,5
116,1,10,9
5,29,32,11
1,10,18,11
1,12,24,11
350,21,32,11
2,6,22,8
1,3,29,13
1,6,6,3
2,30,24,9
3,18,29,11
1,7,12,11
4,5,10,6
337,17,32,11
8,6,15,11
43,34,32,13
426,14,10,11
2,21,13,8
2,10,22,13
221,31,32,8
5,7,24,11
4,6,27,11
1,21,1,8
1,14,22,11
2,16,23,11
1,17,20,11
1,31,6,11
24,25,10,5
2,32,22,11
6,14,29,8
1,33,32,4
20,30,10,12
609,12,10,11
1,32,14,13
6,33,10,3
1,32,6,6
7,21,6,11
46,3,32,11
4,13,14,8
2,14,6,9
27,4,32,3
3,30,21,11
3,1,14,8
1,24,22,13
1,32,15,14
1,25,12,13
2,34,27,13
7,37,10,3
8,22,21,11
190,22,10,9
90,13,10,6
714,32,10,8
1,14,13,6
213,12,10,14
2,18,5,8
1,21,6,14
28,9,32,10
558,32,10,11
5,13,21,8
1,4,29,8
5,12,12,8
3,24,15,13
6,12,24,8
117,3,32,8
3,1,14,11
1,22,31,3
2,17,13,11
1,13,2,11
1,17,20,8
1,16,27,13
509,21,32,8
317,10,10,13
1,7,15,6
1,17,8,8
1,19,19,11
1,24,27,13
1,6,11,9
1,37,10,17
1,17,1,11
4,17,24,13
9,10,6,8
3,21,20,8
1,20,23,8
2,7,27,6
347,18,10,11
1,18,17,8
4,16,23,8
1,6,23,9
28,19,10,3
1,28,27,13
6,6,10,2
1,35,21,3
5,36,10,5
2,13,26,11
3,33,32,1
1,25,27,8
1,23,4,11
1,7,1,9
1,14,14,10
126,24,10,10
3,33,10,6
3,4,14,13
3,13,14,11
3,10,13,8
2,17,9,9
16,7,10,17
19,9,10,15
6,32,29,8
12,12,32,12
5,7,12,8
25,22,10,12
6,21,29,13
1,34,23,8
24,18,32,6
3,12,21,13
1,11,32,11
13,10,15,13
2,4,6,9
1,25,15,8
1,22,24,3
2,10,14,12
1,14,6,3
1,7,19,8
4,14,15,11
1,13,2,8
3,17,27,8
12,31,10,7
4,32,29,11
7,35,10,7
39,32,32,3
497,21,10,13
1,34,10,4
15,12,10,17
1,21,22,13
1,9,13,10
3,34,23,11
8,36,32,3
2,28,23,11
126,18,10,14
16,24,10,7
3,22,21,8
21,7,32,12
12,22,32,4
2,6,12,10
1,28,4,8
37,9,32,13
1,14,26,13
2,35,6,8
2,16,15,10
6,13,21,11
1,14,3,11
4,3,6,11
1,2,21,3
1,21,21,9
1,25,23,9
1,25,15,11
27,20,10,15
182,31,10,13
1,13,14,14
1,26,24,11
412,10,32,8
19,23,10,7
34,13,10,12
1,12,21,10
198,22,32,10
1,7,16,13
3,9,10,12
40,20,32,10
1,13,6,10
4,18,10,17
4,2,10,7
28,16,10,1
2,25,27,11
1,10,21,9
8,6,12,13
2,13,29,9
1,23,11,8
6,7,21,13
7,22,14,8
41,18,32,9
2,7,32,15
5,29,32,14
1,24,10,4
1,35,15,13
1,10,2,9
18,1,10,12
500,21,10,10
1,7,23,10
67,3,10,13
