predictedValue,RealValue,ErrorPercent
'12.651422440036521','1','1165.1422440036522'
'10.73273937219347','1','973.273937219347'
'7.1015239361743845','1','610.1523936174384'
'6.387319143845737','5','27.746382876914737'
'38.63430171618993','101','61.74821612258423'
'11.309932426562451','48','76.43764077799489'
'12.168009605413229','2','508.40048027066143'
'12.190047906340965','1','1119.0047906340965'
'3.1410963398157214','2','57.05481699078607'
'13.640631075261773','14','2.5669208909873373'
'8.42669631430428','1','742.669631430428'
'3.0100795912073757','6','49.832006813210405'
'9.941899326450333','1','894.1899326450333'
'6.026439878924906','2','201.3219939462453'
'10.249103428821275','3','241.6367809607092'
'21.89226387903457','38','42.3887792656985'
'26.29165942191544','49','46.343552200172574'
'11.43970442127658','1','1043.970442127658'
'42.64142646010724','699','93.89965286693744'
'10.32482374220912','1','932.4823742209119'
'11.704695132173011','1','1070.469513217301'
'12.927117442969367','2','546.3558721484684'
'3.9399280807638117','1','293.99280807638115'
